N,URBANSIMX,URBANSIMY
108,1494211.41079000000,7691246.39047
109,1488902.04662000000,7688118.94784
110,1490366.53549000000,7688610.27688
111,1492441.25290000000,7688616.10670
112,1494078.98890000000,7688133.46126
113,1490544.45226000000,7685755.28001
114,1492658.55449000000,7685761.34060
115,1494418.75367000000,7685660.23244
116,1490705.90962000000,7682906.76069
117,1492620.19065000000,7682839.40224
118,1494313.79645000000,7682343.95605
119,1491016.22771000000,7680416.96519
120,1492511.90827000000,7681180.93727
121,1494845.29529000000,7679645.37469
122,1492498.33163000000,7676854.13103
123,1494928.60530000000,7676684.78818
124,1492816.63354000000,7671370.51188
125,1495352.47566000000,7672212.88285
126,1492326.53141000000,7664923.55412
127,1495544.90297000000,7667463.87147
128,1494058.84310000000,7661779.16713
129,1492856.37396000000,7661394.49441
130,1490528.94270000000,7669653.12102
131,1486485.80503000000,7665049.58848
132,1490338.55717000000,7664695.04768
133,1483663.65700000000,7658831.72129
134,1489897.83988000000,7659876.67249
135,1488255.77661000000,7657792.22148
136,1470475.74467000000,7713307.05295
137,1477126.04467000000,7732692.45740
138,1482227.70428000000,7751616.30362
139,1488003.95507000000,7753854.38568
140,1506310.64647000000,7715550.19206
141,1452464.10471000000,7634941.58247
142,1461071.04798000000,7613466.43970
143,1477763.75468000000,7651837.26310
144,1484222.12007000000,7653257.77860
145,1486667.70634000000,7652156.24268
146,1482723.71979000000,7647451.68093
147,1487507.30373000000,7646771.11544
148,1482092.44354000000,7642661.84494
149,1487886.73823000000,7642584.72349
150,1491601.84290000000,7653213.09650
151,1492781.27726000000,7648086.00855
152,1493230.00212000000,7642731.38246
153,1466540.40692000000,7644702.75612
154,1472156.53867000000,7644769.12665
155,1466784.55464000000,7632952.61530
156,1471515.95606000000,7637697.88516
157,1471491.64848000000,7630213.50090
158,1477177.30799000000,7645041.99592
159,1476109.89626000000,7638529.51025
160,1482110.66034000000,7639602.55717
161,1487573.82640000000,7638899.75746
162,1493007.62064000000,7637064.23692
163,1483369.72874000000,7637640.48811
164,1487579.76286000000,7635692.68228
165,1491432.67720000000,7633627.83679
166,1476960.01093000000,7630275.61705
167,1482680.24926000000,7631041.66592
168,1476130.04193000000,7624673.93486
169,1484067.75798000000,7625138.01480
170,1482101.14433000000,7635686.35885
171,1487464.54712000000,7631880.90326
172,1491774.08176000000,7630307.87462
173,1493323.62155000000,7625301.28058
174,1503867.06660000000,7659471.44482
175,1502481.00945000000,7657023.46316
176,1499863.41991000000,7654480.10047
177,1496811.82304000000,7649839.93530
178,1500525.55078000000,7649116.82387
179,1503595.43679000000,7647913.88309
180,1507587.51140000000,7659482.88124
181,1507125.29389000000,7657714.02431
182,1511827.21139000000,7656432.09768
183,1506659.93451000000,7653154.84028
184,1511278.50615000000,7651852.36176
185,1506491.36169000000,7646706.61377
186,1509976.66114000000,7646861.85761
187,1515493.52650000000,7651647.27981
188,1518760.47936000000,7652530.58595
189,1513485.06122000000,7648107.08213
190,1516110.10845000000,7647741.82378
191,1514315.73519000000,7645863.34617
192,1519052.59672000000,7646987.78968
193,1497508.74278000000,7641381.36426
194,1500910.68852000000,7641746.22912
195,1502749.39247000000,7642229.83711
196,1507034.65480000000,7642550.67711
197,1505150.82055000000,7637494.06744
198,1508151.49992000000,7639100.64393
199,1509642.51848000000,7635656.11594
200,1507288.55970000000,7632934.00576
201,1512969.97653000000,7643065.09264
202,1515361.24381000000,7642816.62462
203,1518186.45727000000,7643017.16066
204,1512801.12742000000,7639978.37410
205,1515576.03725000000,7639801.10772
206,1517586.19372000000,7640160.95471
207,1512909.52188000000,7636637.26002
208,1515757.82349000000,7636814.95013
209,1512593.42761000000,7632358.09591
210,1514900.32886000000,7632493.18814
211,1499340.28316000000,7635877.39683
212,1497422.31552000000,7633817.66520
213,1498677.26258000000,7628113.36783
214,1502817.95277000000,7635093.76614
215,1502426.86781000000,7629074.40429
216,1502592.36521000000,7624962.28485
217,1507471.32960000000,7628119.47624
218,1507321.73968000000,7623995.63672
219,1509785.92134000000,7628060.94658
220,1512907.49913000000,7629205.33822
221,1513214.45984000000,7626699.22543
222,1516257.20036000000,7630633.37855
223,1517318.34950000000,7632156.22865
224,1516252.06070000000,7626500.51081
225,1518143.76372000000,7628015.12271
226,1512420.71212000000,7624367.16177
227,1514065.09401000000,7623290.32883
228,1516310.33929000000,7624413.10679
229,1518045.57477000000,7624072.10639
230,1519524.64158000000,7625978.19021
231,1520439.20572000000,7622300.47915
232,1471903.02287000000,7619564.15562
233,1475735.84318000000,7619757.65031
234,1478501.96677000000,7619380.19492
235,1482524.04890000000,7620871.38405
236,1482559.52671000000,7617661.28238
237,1487128.47105000000,7621036.58975
238,1487955.96810000000,7617667.04909
239,1471819.50554000000,7614291.97206
240,1477069.88640000000,7615114.26874
241,1482515.76114000000,7615080.96439
242,1487861.73070000000,7614738.47532
243,1492236.09573000000,7621040.62704
244,1497575.65743000000,7618465.91296
245,1493263.91076000000,7617671.64851
246,1493142.82146000000,7614822.29535
247,1498002.77045000000,7615074.28328
248,1493193.81989000000,7612308.18016
249,1492444.68991000000,7608548.54585
250,1475915.65955000000,7611043.68715
251,1478568.24217000000,7610987.22792
252,1482500.15933000000,7612179.13641
253,1482579.57646000000,7609858.88287
254,1488043.72889000000,7612277.66618
