TAZ_Forecast_Idx,YEAR,CO_FIPS,TAZID,CO_TAZID,TOTPOP,GQ_Pop,HH_Pop,HH,HH_Size,POP_00_17,POP_18_64,POP_65P,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,CO_NAME
154_2051,2051,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2052,2052,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2053,2053,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2054,2054,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2055,2055,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2056,2056,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2057,2057,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2058,2058,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2059,2059,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
154_2060,2060,57,154,570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2010,2010,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2011,2011,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2012,2012,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2013,2013,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2014,2014,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2015,2015,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2016,2016,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2017,2017,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2018,2018,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2019,2019,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2020,2020,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2021,2021,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2022,2022,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2023,2023,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2024,2024,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2025,2025,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2026,2026,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2027,2027,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2028,2028,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2029,2029,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2030,2030,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2031,2031,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2032,2032,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2033,2033,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2034,2034,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2035,2035,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2036,2036,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2037,2037,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2038,2038,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2039,2039,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2040,2040,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2041,2041,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2042,2042,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2043,2043,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2044,2044,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2045,2045,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2046,2046,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2047,2047,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2048,2048,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2049,2049,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2050,2050,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2051,2051,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2052,2052,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2053,2053,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2054,2054,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2055,2055,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2056,2056,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2057,2057,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2058,2058,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2059,2059,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
577_2060,2060,57,577,570577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2010,2010,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2011,2011,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2012,2012,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2013,2013,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2014,2014,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2015,2015,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2016,2016,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2017,2017,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2018,2018,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2019,2019,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2020,2020,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2021,2021,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2022,2022,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2023,2023,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2024,2024,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2025,2025,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2026,2026,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2027,2027,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2028,2028,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2029,2029,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2030,2030,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2031,2031,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2032,2032,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2033,2033,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2034,2034,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2035,2035,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2036,2036,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2037,2037,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2038,2038,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2039,2039,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2040,2040,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2041,2041,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2042,2042,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2043,2043,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2044,2044,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2045,2045,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2046,2046,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2047,2047,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2048,2048,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2049,2049,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2050,2050,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2051,2051,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2052,2052,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2053,2053,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2054,2054,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2055,2055,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2056,2056,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2057,2057,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2058,2058,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2059,2059,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
578_2060,2060,57,578,570578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2010,2010,57,579,570579,59.3,0,59.3,30.5,1.94,17.7,35.6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2011,2011,57,579,570579,59.6,0,59.6,30.7,1.94,17.7,35.7,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2012,2012,57,579,570579,59.9,0,59.9,30.9,1.94,17.6,35.9,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2013,2013,57,579,570579,60.1,0,60.1,31,1.94,17.6,35.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2014,2014,57,579,570579,60.3,0,60.3,31.1,1.94,17.5,36,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2015,2015,57,579,570579,60.7,0,60.7,31.3,1.94,17.5,36.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2016,2016,57,579,570579,61.1,0,61.1,31.5,1.94,17.4,36.5,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2017,2017,57,579,570579,61.5,0,61.5,31.7,1.94,17.4,36.7,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2018,2018,57,579,570579,61.8,0,61.8,31.9,1.94,17.4,36.8,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2019,2019,57,579,570579,62,0,62,32,1.94,17.3,36.9,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2020,2020,57,579,570579,62.2,0,62.2,32.1,1.94,17.2,37.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2021,2021,57,579,570579,62.5,0,62.5,32.3,1.93,17.1,37.2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2022,2022,57,579,570579,62.8,0,62.8,32.5,1.93,16.9,37.4,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2023,2023,57,579,570579,63.1,0,63.1,32.7,1.93,16.8,37.5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2024,2024,57,579,570579,63.4,0,63.4,32.9,1.93,16.6,37.8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2025,2025,57,579,570579,63.7,0,63.7,33.1,1.92,16.4,38,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2026,2026,57,579,570579,64,0,64,33.3,1.92,16.1,38.3,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2027,2027,57,579,570579,64.3,0,64.3,33.5,1.92,15.9,38.5,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2028,2028,57,579,570579,64.6,0,64.6,33.7,1.92,15.7,38.8,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2029,2029,57,579,570579,64.9,0,64.9,33.9,1.91,15.5,39.1,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2030,2030,57,579,570579,65.2,0,65.2,34.1,1.91,15.4,39.3,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2031,2031,57,579,570579,65.5,0,65.5,34.3,1.91,15.2,39.7,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2032,2032,57,579,570579,65.8,0,65.8,34.5,1.91,15.1,39.9,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2033,2033,57,579,570579,66.1,0,66.1,34.7,1.9,15,40.3,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2034,2034,57,579,570579,66.4,0,66.4,34.9,1.9,14.9,40.6,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2035,2035,57,579,570579,66.7,0,66.7,35.1,1.9,14.8,40.8,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2036,2036,57,579,570579,67,0,67,35.3,1.9,14.7,41.1,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2037,2037,57,579,570579,67.3,0,67.3,35.5,1.9,14.7,41.2,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2038,2038,57,579,570579,67.6,0,67.6,35.7,1.89,14.7,41.4,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2039,2039,57,579,570579,67.9,0,67.9,35.9,1.89,14.7,41.6,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2040,2040,57,579,570579,68.2,0,68.2,36.1,1.89,14.8,41.7,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2041,2041,57,579,570579,68.5,0,68.5,36.4,1.88,14.8,41.8,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2042,2042,57,579,570579,68.8,0,68.8,36.6,1.88,14.9,41.8,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2043,2043,57,579,570579,69.1,0,69.1,36.8,1.88,14.9,41.8,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2044,2044,57,579,570579,69.4,0,69.4,37,1.88,15,41.8,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2045,2045,57,579,570579,69.7,0,69.7,37.2,1.87,15,41.8,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2046,2046,57,579,570579,70,0,70,37.4,1.87,15,41.8,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2047,2047,57,579,570579,70.3,0,70.3,37.6,1.87,15.1,41.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2048,2048,57,579,570579,70.6,0,70.6,37.8,1.87,15.1,41.6,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2049,2049,57,579,570579,70.9,0,70.9,38,1.87,15.1,41.5,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2050,2050,57,579,570579,71.1,0,71.1,38.2,1.86,15,41.5,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2051,2051,57,579,570579,71.3,0,71.3,38.4,1.86,15,41.3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2052,2052,57,579,570579,71.5,0,71.5,38.6,1.85,14.9,41.3,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2053,2053,57,579,570579,71.7,0,71.7,38.8,1.85,14.8,41.2,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2054,2054,57,579,570579,71.9,0,71.9,39,1.84,14.7,41.1,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2055,2055,57,579,570579,72.1,0,72.1,39.2,1.84,14.6,41.1,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2056,2056,57,579,570579,72.3,0,72.3,39.4,1.84,14.5,41,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2057,2057,57,579,570579,72.5,0,72.5,39.6,1.83,14.3,41.1,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2058,2058,57,579,570579,72.7,0,72.7,39.8,1.83,14.2,41.2,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2059,2059,57,579,570579,72.9,0,72.9,40,1.82,14.1,41.4,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
579_2060,2060,57,579,570579,73.1,0,73.1,40.2,1.82,13.9,41.7,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2010,2010,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2011,2011,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2012,2012,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2013,2013,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2014,2014,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2015,2015,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2016,2016,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2017,2017,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
580_2018,2018,57,580,570580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weber
