building_type_id,non_residential_sqft,note,parcel_id,residential_units,stories,unit_price_non_residential,year_built,res_price_per_sqft,residential_price,non_residential_price,job_spaces,building_sqft,DEVTYPE
1,0,pipeline,593781,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593783,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593784,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593787,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593788,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593790,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593792,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593793,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593794,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593795,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593796,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593797,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593798,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593800,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593802,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593803,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593805,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593808,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593809,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593811,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593814,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593816,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593824,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593825,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593826,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593830,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593833,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593834,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593835,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593840,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593841,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593846,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593851,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593853,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593856,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593857,1,1,0,2021,0,0,0,0,0,develop
3,15288,pipeline,593859,0,1,0,2021,0,0,0,16,15288,develop
1,0,pipeline,593862,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593865,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593866,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593869,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593871,1,1,0,2021,0,0,0,0,0,develop
4,4222,pipeline,593872,0,1,0,2021,0,0,0,12,4222,develop
1,0,pipeline,593873,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593875,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,593877,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593879,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593881,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593882,1,1,0,2023,0,0,0,0,0,develop
1,0,pipeline,593884,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593885,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593886,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593887,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593890,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593892,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593893,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593897,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593898,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593899,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593900,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593906,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593911,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593912,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593913,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593914,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,593915,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593916,1,1,0,2023,0,0,0,0,0,develop
1,0,pipeline,593918,1,1,0,2023,0,0,0,0,0,develop
1,0,pipeline,593919,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593920,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593922,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593924,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593926,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593927,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593929,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593930,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593931,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,593933,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593935,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593936,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593941,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593942,1,1,0,2023,0,0,0,0,0,develop
2,0,pipeline,593944,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593945,1,1,0,2022,0,0,0,0,0,develop
1,0,pipeline,593950,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593952,1,1,0,2021,0,0,0,0,0,develop
