year,sector_id,number_of_jobs,cid
2031,6,12213,57
2031,7,40886,57
2031,8,181,57
2031,9,14096,57
2031,10,9449,57
2031,11,1426,57
2031,12,3982,57
2032,1,13105,11
2032,2,18107,11
2032,3,46125,11
2032,4,21703,11
2032,5,17315,11
2032,6,25982,11
2032,7,56386,11
2032,8,182,11
2032,9,20237,11
2032,10,12843,11
2032,11,1089,11
2032,12,6549,11
2032,1,66289,35
2032,2,68823,35
2032,3,162829,35
2032,4,98538,35
2032,5,69789,35
2032,6,164570,35
2032,7,298271,35
2032,8,3995,35
2032,9,83873,35
2032,10,104958,35
2032,11,1353,35
2032,12,35138,35
2032,1,27703,49
2032,2,42027,49
2032,3,70773,49
2032,4,46914,49
2032,5,25974,49
2032,6,76669,49
2032,7,112073,49
2032,8,853,49
2032,9,45263,49
2032,10,19952,49
2032,11,3277,49
2032,12,17157,49
2032,1,9396,57
2032,2,10644,57
2032,3,25571,57
2032,4,18154,57
2032,5,18167,57
2032,6,12236,57
2032,7,41010,57
2032,8,191,57
2032,9,14334,57
2032,10,9409,57
2032,11,1421,57
2032,12,4005,57
2033,1,13095,11
2033,2,18475,11
2033,3,46376,11
2033,4,22188,11
2033,5,17491,11
2033,6,26232,11
2033,7,56483,11
2033,8,184,11
2033,9,20714,11
2033,10,12703,11
2033,11,1101,11
2033,12,6601,11
2033,1,66210,35
2033,2,70355,35
2033,3,164093,35
2033,4,100649,35
2033,5,70668,35
2033,6,166661,35
2033,7,299193,35
2033,8,4035,35
2033,9,85573,35
2033,10,104274,35
2033,11,1366,35
2033,12,35428,35
2033,1,27813,49
2033,2,42925,49
2033,3,71271,49
2033,4,48032,49
2033,5,26280,49
2033,6,77669,49
2033,7,112769,49
2033,8,871,49
2033,9,46309,49
2033,10,19872,49
2033,11,3263,49
2033,12,17389,49
2033,1,9346,57
2033,2,10864,57
2033,3,25637,57
2033,4,18421,57
2033,5,18410,57
2033,6,12339,57
2033,7,41053,57
2033,8,196,57
2033,9,14577,57
2033,10,9309,57
2033,11,1414,57
2033,12,4028,57
2034,1,13151,11
2034,2,18923,11
2034,3,46640,11
2034,4,22682,11
2034,5,17669,11
2034,6,26713,11
2034,7,56769,11
2034,8,186,11
2034,9,21161,11
2034,10,12621,11
2034,11,1115,11
2034,12,6675,11
2034,1,66499,35
2034,2,72162,35
2034,3,166330,35
2034,4,102924,35
2034,5,71700,35
2034,6,170349,35
2034,7,301321,35
2034,8,4059,35
2034,9,87200,35
2034,10,103953,35
2034,11,1380,35
2034,12,35932,35
2034,1,28073,49
2034,2,43973,49
2034,3,71915,49
2034,4,49171,49
2034,5,26622,49
2034,6,79362,49
2034,7,113893,49
2034,8,885,49
2034,9,47311,49
2034,10,19843,49
2034,11,3253,49
2034,12,17612,49
2034,1,9343,57
2034,2,11110,57
2034,3,25704,57
2034,4,18689,57
2034,5,18660,57
2034,6,12549,57
2034,7,41213,57
2034,8,201,57
2034,9,14798,57
2034,10,9230,57
2034,11,1409,57
2034,12,4061,57
2035,1,13215,11
2035,2,19402,11
2035,3,46894,11
2035,4,23088,11
2035,5,17642,11
2035,6,27160,11
2035,7,57021,11
2035,8,187,11
2035,9,21607,11
2035,10,12511,11
2035,11,1128,11
2035,12,6735,11
2035,1,66774,35
2035,2,73965,35
2035,3,167568,35
2035,4,104627,35
2035,5,71755,35
2035,6,173521,35
2035,7,302879,35
2035,8,4073,35
2035,9,88787,35
2035,10,103289,35
2035,11,1394,35
2035,12,36298,35
2035,1,28344,49
2035,2,45051,49
2035,3,72486,49
2035,4,50107,49
2035,5,26653,49
2035,6,80983,49
2035,7,114898,49
2035,8,897,49
2035,9,48304,49
2035,10,19760,49
2035,11,3243,49
2035,12,17867,49
2035,1,9355,57
2035,2,11384,57
2035,3,25795,57
2035,4,18899,57
2035,5,18714,57
2035,6,12756,57
2035,7,41380,57
2035,8,205,57
2035,9,15034,57
2035,10,9142,57
2035,11,1405,57
2035,12,4092,57
2036,1,13237,11
2036,2,19926,11
2036,3,47200,11
2036,4,23512,11
