,parcel_id,county_id
191,295,57
192,296,57
193,297,57
194,298,57
195,299,57
196,300,57
197,301,57
198,302,57
199,303,57
200,304,57
201,305,57
202,306,57
203,307,57
204,308,57
205,309,57
206,310,57
207,311,57
208,312,57
209,313,57
210,314,57
211,315,57
212,316,57
213,319,57
214,320,57
215,321,57
216,322,57
217,323,57
218,324,57
219,325,57
220,326,57
221,327,57
222,328,57
223,329,57
224,330,57
225,331,57
226,332,57
227,333,57
228,334,57
229,335,57
230,336,57
231,337,57
232,338,57
233,339,57
234,340,57
235,341,57
236,342,57
237,343,57
238,344,57
239,345,57
240,346,57
241,347,57
242,348,57
243,349,57
244,350,57
245,351,57
246,352,57
247,353,57
248,354,57
249,355,57
250,356,57
251,357,57
252,358,57
253,359,57
254,360,57
255,361,57
256,362,57
257,363,57
258,364,57
259,365,57
260,366,57
261,367,57
262,368,57
263,369,57
264,370,57
265,371,57
266,372,57
267,373,57
268,374,57
269,375,57
270,376,57
271,377,57
272,378,57
273,379,57
274,380,57
275,381,57
276,382,57
277,383,57
278,384,57
279,385,57
280,386,57
281,387,57
282,388,57
283,389,57
284,390,57
285,391,57
286,392,57
287,393,57
288,394,57
289,395,57
290,396,57
291,397,57
292,398,57
293,399,57
294,400,57
295,401,57
296,402,57
297,403,57
298,404,57
299,405,57
300,406,57
301,407,57
302,408,57
303,409,57
304,410,57
305,411,57
306,412,57
307,413,57
308,414,57
309,415,57
310,416,57
311,417,57
312,418,57
313,419,57
314,420,57
315,421,57
316,422,57
317,424,57
318,425,57
319,426,57
320,427,57
321,428,57
322,429,57
323,432,57
324,433,57
325,437,57
326,438,57
327,441,57
328,442,57
329,443,57
330,446,57
331,447,57
332,448,57
333,449,57
334,461,57
335,462,57
336,463,57
337,464,57
338,465,57
339,466,57
340,467,57
341,468,57
342,469,57
343,470,57
344,471,57
345,472,57
346,473,57
347,474,57
348,475,57
349,476,57
350,477,57
351,478,57
352,479,57
353,480,57
354,481,57
355,482,57
356,496,57
357,498,57
358,505,57
359,506,57
360,507,57
361,508,57
362,509,57
363,510,57
364,511,57
365,512,57
366,513,57
367,514,57
368,515,57
369,516,57
370,517,57
371,518,57
372,519,57
373,520,57
374,521,57
375,522,57
376,523,57
377,524,57
378,525,57
379,526,57
380,527,57
381,528,57
382,529,57
383,530,57
384,531,57
385,532,57
386,533,57
387,534,57
388,538,57
389,539,57
390,540,57
391,541,57
392,542,57
393,543,57
394,544,57
395,545,57
396,546,57
397,547,57
398,548,57
399,549,57
400,550,57
401,551,57
402,552,57
403,553,57
404,554,57
405,555,57
406,556,57
407,557,57
408,558,57
409,559,57
410,560,57
411,561,57
412,562,57
413,563,57
414,564,57
415,565,57
416,566,57
417,567,57
418,568,57
419,569,57
420,570,57
421,571,57
422,572,57
423,573,57
424,574,57
425,575,57
426,576,57
427,577,57
428,578,57
429,579,57
430,580,57
431,581,57
432,582,57
433,583,57
434,584,57
435,585,57
436,586,57
437,587,57
438,588,57
439,589,57
440,590,57
441,591,57
442,592,57
443,593,57
444,594,57
445,595,57
446,596,57
447,597,57
448,598,57
449,599,57
450,600,57
451,601,57
452,602,57
453,603,57
454,604,57
455,605,57
456,606,57
457,607,57
458,608,57
459,609,57
460,610,57
461,611,57
462,612,57
463,613,57
464,614,57
465,615,57
466,616,57
467,617,57
468,618,57
469,619,57
470,620,57
471,621,57
472,622,57
473,623,57
474,624,57
475,625,57
476,626,57
477,627,57
478,628,57
479,629,57
480,630,57
481,631,57
482,632,57
483,633,57
484,634,57
485,635,57
486,636,57
487,637,57
488,638,57
489,639,57
490,640,57
491,641,57
492,642,57
493,643,57
494,644,57
495,645,57
496,646,57
497,647,57
498,648,57
499,649,57
500,650,57
501,651,57
502,652,57
503,653,57
504,654,57
505,655,57
506,656,57
507,657,57
508,658,57
509,659,57
510,660,57
511,661,57
512,662,57
513,663,57
514,664,57
515,665,57
516,666,57
517,667,57
518,668,57
519,669,57
520,670,57
521,671,57
522,672,57
523,673,57
524,674,57
525,675,57
526,676,57
527,677,57
528,678,57
529,679,57
530,680,57
531,681,57
